review,sentiment
Pemimpin yang baik adalah pemimpin yang berani ngambil keputusan  Pemimpin terburuk adalah pemimpin yang diam takut resiko tidak mau mengambil keputusan  Mending jadi pemimpin yang salah ngambil keputusan terus dia koreksi ketibang pemimpin duduk diam tidak ngambil keputusan,positive
Mungkin critanye yg cowo dikorbanin biar si cewe bisa jadi maju pilpres 24,negative
belajar konstitusi kontstitusi,positive
Takbir,positive
Itu lah baik lag ketimbang kita terima israel di pildun nigri ini sama ajah kita jd penghianat dh,negative
artinya apa bang sel?,positive
Wah ,positive
"Setau saya Imam Syafi'i tidak pernah menyuruh memilih pemimpin yang  nonton Bokep   ""Apakah saya salah?""",negative
Pemilu sendiri. Nyalon sendiri. Coblos sendiri. Tepuk tangan sendiri. Isinya org tua itu juga. Begitulah fenomena di berbagai kumpulan. Ditinggalkan anak muda. Kegagalan bangsa merespon Berkah Demografinya.,negative
Zionis israel = penjajah Palestina = yg dijajah. Kita berdiri dimana? Membela penjajah atau membela yg dijajah? Orang2 yg memiliki nilai kemanusiaan pasti membela yg dijajah dan melawan penjajah.,negative
golput dan tidak pilih dua hal yang berbeda,negative
sama PKS mending golput gue,negative
Seharunya diadakan #infestigasi tempo biar semua jelas pas baca tempo kemrin radak bingung juga sich..,negative
"Palestine pas ditanya kenal gak tuh ama mereka .. jawabnya ""ORA""",negative
Hooh...haram.milih anis,negative
Yang nolak bukan hanya mr ganjar,positive
Tambah lucu,positive
yg bener,positive
Ciri komennya kadrun ya kyk lu ini,negative
halah pildun yuh pak,positive
Masih ngotot pilih sbg capres ?,negative
Sabar pak,positive
Ternyata seperti ini ceritanya,positive
Ya mereka kan pemain bola,positive
Jangan pilih PDI P dan anteknya 2024,negative
Boneka tetaplah boneka meski dipoles seperti apa,negative
Bersikap sopan lah dikit bro... Marah boleh tapi jgn sampai memaki kek gitu...lah Orgnya di-tag pula kau ini,positive
Untuk para Sahabat yang sedang sahur,positive
pak saya ga ngerti,positive
Akan selalu ade pilihan sulit demi keadaan yang lebih baik,positive
Sorry bang... bukan kanjuruhan tapi intervensi,negative
"Ia mengaku tetap kukuh dengan keputusannye sejak awal, mesti memiliki resiko. Dawuh Pak Yai, Kalau punya sikap, harus madhep mantep tetap tegak lurus pantang mundur.",positive
Yes ..sama sekali,positive
Gimana sih?,positive
Emak Bapaknya pasti Bangga,positive
Kalau mau jadi pengganti ya harus dicalonkan dulu,positive
siapkan tongkat dan kursi roda di tiap TPS,positive
Sudahlah ngga usah saling serang.. Toh nasi dah jadi bubur... Mending keluar dari partai yang tidak sesuai dgn kita,positive
buka laporan hsl audit FIFA atas kesiapan 6 stadionnya Minta ungkap siapa yg atas namakan FIFA siapa yg buat surat palsu FIFA batalkan drawing ,negative
Presiden kemarin sdh ngomong sendiri karena ada penolakan pimda yg sudah tanda tangan host agreement. gw percaya presiden ketimbang tempe,positive
Aku masih padamu Pak tenang aja!! ,positive
mirip strawberry loh,positive
Selama masih patuh konstitusi perlindungan Palestina it's all bullsh1t,positive
Momen lucu Ganjar Pranowo saat Musrenbangwil.,positive
Ini Dia Sinetronya tersanjung,positive
di Pilpres 2024 No Ganjar No PDIP TITIK,negative
semoga masalah ini bisa ditemukan jalan dan solusi terbaiknya,positive
tidak diundang sebagai pengusung Ganjar Pranowo,negative
Patut diduga - Drama.. Ini,negative
Ya ampun bener nggak ini,positive
PRIA PUNYA SELERA,positive
Heeeemmm Kalau menurut mas ini tak melanggar  konstitusi,positive
Hoax apa bukan ini?,negative
Cuci tangan bersih pake sabun.. hehe..,positive
Tolak isreal!!,negative
RUNGKAD......janji janji palsu karena HAKUSINASI yg dikelilingi penjilat2 tingkat tinggi,negative
klo cinta buta sudah kadung melekat,negative
udah SADARKAH?!!!,negative
Cantik,positive
Berkhianat kepada negara,negative
Bahasamu menunjukkan jati dirimu,positive
Pendukung dan buzzer @ganjarpranowo mulai sibuk membersihkan citra calonnya,negative
Mimin ada tips jitu nih untuk kalian agar TETAP BERSEMANGAT saat menjalani Puasa Ramadan !!!,positive
mendadak percaya tempo yg sudah jadi tempe,positive
Bongkar jangan sampai tidak...,negative
Gas gak,positive
Pembenaran yang bagaimana mau dibuat untuk menutupi sebuah penghianatan!!! Kami paham bagaimana sebuah partai sehingga layak utk ditinggalkan!!!  Kami paham seorang penghianat sehingga patut diacuhkan.,negative
Ini kebanggan kalian? Jalan tol bandara dijual.....harga diri pun sudah kalian jual. Rejim terburuk dlm sejarah NKRI yakni rejim PDIP berkuasa.,negative
Apa yang mau dibuka? Sudah jelas anda tidak punya sikap tegas dalam menghadapi ancaman 212 dan radikalisme kaum intoleran. Mau disuruh Ketua kek,negative
"Malam ini lagi,di samperi orang suruh berhenti,katanya mengganggu,kita Cuma sekadar meluangakan wkt olahraga ,sekalian menunggu sahur Malah tdk boleh basket dikira merusak lapangan juga,kalau g salah tadi yg nyamperi salah satunya yg punya usaha tepung dan gula batu alun""",negative
Dan sampai saat ini ndoro @ganjarpranowo belum meminta maaf atas sikapnya yg berseberangan dengan atasannya,negative
sekarang udah mulai jelas mengenai pembatalan piala dunia yang dijelaskan oleh majalah tempo,positive
Sdhlah dramanya g laku ..yg jelas PDI sdh melakukan blunder fatal utk pemilihan thn dpn,negative
Walaupun begitu banyak yang menyerang Pak Ganjar saya tetap mendukung penuh Pak Ganjar menjadi presiden RI ke-8,positive
Kan PETUGAS,positive
Bongkar2an?,negative
Oh Jateng,positive
tempo yg sudah jadi tempe jadi referensi? coba liat ada iklan apa/siapa di edisi itu,negative
Comont sense dah pada ilang.. makanya saya males koment politik lokal kita.. dah dilevel kebencian,negative
Inilah se ekor kambing hitam yg sudah di poles,negative
Zona Ramadhan Ganjar Pranowo digelar Sahabat Ganjar di Kabupaten Pasuruan.,positive
Pak Ganjar sosok pemimpin yang sangat peduli dengan masyarakat yang kali ini beliau menyediakan mudik gratis menggunakan kereta api pada momen lebaran ini ke Jawa Tengah,positive
Begitu banyak kontribusi Jawa Tengah dengan mendorong produk dalam negeri yang mencapai 98,positive
Kebagusan Rai t kok nyandhak gusdur,positive
Kini dengan SMK boarding besutan Pak Ganjar sama dengan sebuah dorongan untuk menekan angka kemiskinan di Jawa Tengah karena SMK boarding Jawa Tengah gratis,positive
pejuang jalur Gazza,positive
Cuplikan beberapa kegiatan Santri Dukung Ganjar Banten pada akhir bulan Maret 2023. Alhamdulillah semua kegiatan berjalan lancar dan baik,positive
tanpa sadar elite PDIP sbgai partai pemerintah mempermalukan diri sendiri,negative
njir akun2 mental sosmed... ada banci di balik akun beginian..,negative
Tempo gak tahu slogan FIFA soal no diskriminasi atau gimana?,negative
Belum Keluarkan Sepatah Kata Soal Timnas Israel,negative
Bilang aja silit pitik itu umet2,negative
FIFA itu punya slogan,positive
Nah...,negative
tolong seonggok daging ini segera ditangkap,negative
FIFA tdk merelease surat utk pembatalan drawing di Bali 3. FIFA sdh mengirim laporan hsl audit 6 stadion tp hsl auditnya disembunyikan jokowi  Ayo om ganjar pranowo pinta jokowi buka laporan hasil audit FIFA yg disembunyikan,negative
membuat kesalahan besar..tanda tangan komitmen.. tp tdk komit,negative
Bilang aja INDONESIA gak punya duit untuk menyelenggarakan even ini,negative
Menggali luka... semoga almarhum di terima disisi Allah YME... AMIIIN,positive
jangan mau jadi kambing hitam jangan mau jd tumbal kedunguan,negative
Emang berani gubernur bokep lawan mega dan pdip nya,negative
Dulu presiden sekarang gubernu hebat ya......,positive
Kebohongan PSSI PSSI melalui Arya Sinulingga menuding penyebab kegagalan piala dunia adalah Koster. Nyatanya Tempo mengungkap bahwa justru PSSI yang berpegang pada konstitusi melobi FIFA agar ada syarat khusus dalam pertandingan Israil #InvestigasiTempo,negative
Kelakuan para DPR nih,negative
keterlaluan Ente,negative
info pak,positive
Kena Dampak Luar Biasa Imbas Piala Dunia U-20,negative
Krn duit BUMN banyak saja cebong buzeRp disantuni bisa satu komando agar kesalahan,negative
Keamanan karena nolak israel jadi ricuh,negative
Wakil Eropa yang masih berpeluang lolos ke Piala Dunia U-17 2023 1. Hungaria 2. Rep. Irlandia 3. Polandia 4. Wales 5. Serbia 6. Spanyol 7. Italia 8. Slovenia 9. Portugal 10. Prancis 11. Skotlandia 12. Jerman 13. Kroasia 14. Belanda 15. Swiss 16. Inggris,positive
Menyambut Momentum Bulan Suci Ramadhan 1444H Ganjar Milenial Center Jabodetabek Bersama BEM IAIN LAROIBA Gelar Lomba Lomba Adzan,positive
Seperti Apa Kegiatan Sahabat Ganjar di Kabupaten Kediri? Yuk cari tahu disini,positive
Israel sudah dipastikan tidak lolos ke Piala Dunia U-17 2023,positive
Sudah rahasia umum,positive
500 ribu dollar,positive
Ogahh milih org yg plin plan kek gini,negative
Kalau dia bongkar itu perintah megawati,negative
Tuanku ya Rakyat,positive
Tetep kalem dan berpikiri jernih,positive
Udah gak percaya sama tempo.,negative
Cuman #GanjarPranowo yg berani Melawan Ideologi Khilafah di NKRI ,positive
Alhamdulillah kegiatan ini berjalan lancar dan disambut baik oleh para penerima manfaat dan warga sekitar.,positive
Pilihan akal waras ,negative
Bijaksana seko hongkong,negative
Aku cuma mau bilang,positive
Pemilih yg waras,positive
Nyari i Wayan coster,negative
"YUK KE FIFA KALIAN RAMAI"" BIDING WC U17. Israel gak lolos nih. Yuk bisa",negative
Ini tidak siap bukan menolak israel,negative
apa hubungannya?,positive
Kapan mangkat neng palestina leb seleeebbb.,negative
Mas ganjar klw mau pemilu,positive
Kita tetap kuatkan persatuan dengan terus saling supot untuk mengantar pak Ganjar pranowo ke istana ,positive
Bukan Satu-satunya Penolak Israel di Piala Dunia U-20,negative
Luh israel pembunuh luh anjingggg,negative
sudah dekat jadwal pertandingan baru dikasih tahu kalau batal,negative
bedakan mana sepakbola mana politik mana agama tidak semuanya pecinta sepakbola itu islam,negative
itu pertamina gmn kabar? Masih kebakar pak? Ini jamaah bpk belain bpk loh. Kata nya bpk apadanya?,negative
Lomba Kaligrafi dilakukan Sahabat Ganjar di Kabupaten Gresik,positive
Masih menunggu permintaan maaf dan pengunduran diri ganjarpranowo dan Wayan Koster.  Super ultra rare,negative
Harap dimaklumi ucapan Ade Armando karena klo tidak begitu maka tidak bisa makan,negative
Saya juga sedih Pak,positive
Kemana wawasan kebangsaannya. Korbankan bangsa untuk bangsa lain.,negative
Pak Ganjar outfitnya tampak santai dan segar,positive
Cuih netizen kaya yang kaga pernah salah aje lu,negative
monggo tanggapannya yth pak,positive
mendekati anaknya,positive
Ini lhoo alasannya.,positive
saya dalam hati aja dukungnya...takut partai ga mencalonkan kasian ganjar....tambah pusing,positive
Yaa kan Bijaknya kesan,positive
Ganjar dan Erick ini dalam  tahun terakhir sering  dgn Jokowi.. Tapi Ganjar kini ke sawahpun pergi sendiri.,positive
Tapi Puan lebih baguskan??????,positive
ada kelompok yang bermain,negative
Knp jd saling menjatuhkan,negative
Ngga ngerti saya... Untung ada translate,positive
"""Petunjuk Ibu""  Tak pikir Banteng Merdeka, Ternyata Pedet dikeluh",negative
Ayo pak ganjarpranowo,positive
Sehat Selalu pak Ganjar  Ganjar For RI 1,positive
" ""Kacang jangan lupa karo kulitnya""  Bukan berarti makan kacang sak kulit",negative
Pak Ganjar mah menjunjung tinggi konstitusi jadi harus kita dukung terus,positive
Pemimpin Masa Depan dari pdip,positive
Alhamdulillah kegiatan ini berjalan lancar dan disambut baik oleh para tokoh,positive
justru pak Ganjar itu lebih berani untuk menjunjung tinggi NKRI,positive
tunjukan aja jgn bozzar bazzer aja mas,negative
Semua pada nyalahin pak Ganjar tapi gak paham sama undang undang dan konstitusi kita,positive
 apa gak capek mempromosikan gubernur 2X tanpa hasil yang significant dan mana ada partai yang mau dengan penggemar bokep,negative
Semoga pak ganjarpranowo  melihat responnya,positive
Santri Dukung Ganjar Banten melaksanakan kegiatan Doa Bersama Untuk Bapak Ganjar Pranowo dan Pelatihan Budidaya Kambing Domba,positive
pak Ganjar melakukan ini karena beliau sangat menghargai sejarah,positive
Itu namanya lobi tolol Beda dengan tolak kedatangan,negative
Ah mana beraniiii,negative
harusnya pak Ganjar didukung karena keteguhan hati beliau yang mengutamakan keamanan negara ini,positive
Sya hanya ingin di denger saya hanya ingin kisah saya bisa di muat.Tolong lah saya karna saya hanya ingin bebas dari semua belenggu ini pak saya butuh dukungan atas teraniyaya dan di tinggalkan tanpa tanggung jawab.,positive
Kadrun banget sih ini orang,negative
Selamat buat ganjarpranowo dan WayanKoster krn telah sukses membuat orang yg paling sabar itu kebingungan.  Sekali lagi SELAMAT.............. NGELES.,negative
Didenda cuma 165 JT,negative
SUDAHI PENCITRAANNYA PAK,negative
Sudah lah Pak Tua,negative
Sebelum tanda tangan kesepakatan,negative
Boikot kagak nih? alumni2 pembela palestina..,negative
Lagi cari jodoh,positive
Rame di Indonesia ini yang bersama Palestina. Dan itu harus diterima atau ada yang bisa merubah.,positive
Sengaja ada misi Penggembosan Gajar ternyata dari dalam,negative
kalo memag setuju gelaran pildun u20.temui langsung Jokowi.bilang ini itu ini itu.niar yg umumkam sendiri adalah yg punya hajat.apa susahnya ketemu Jokowi utk bicarakan itu?tapi ya sdhlah.,negative
Paling menghilang dan pada ganti akun jongos jongos!!,negative
"Jangan kebanyakan ngegas mas, ntar nabrak loh, kamu ini mau kritik, maki"" ato apa? Pelan"" aja jgn pake urat",negative
udah kepalang rusak,negative
Ngurus kanjuruhan aja gk becus mau sok2an tampil pildun u20... 135 nyawa cuy...,negative
Jawaban Cerdas untuk Para Jongos jongos Majikan..  Mereka (Buzer) Lupa GP itu masih kader PDIP.,negative
Gibran Mendadak Dipanggil Ganjar Pranowo ke Semarang,positive
Sudah terang benderang siapa yang menggalkan piala dunia,positive
Siap calon presiden Palestina,negative
"Buat org goblok yg gatau apa"" nih baca permenlu nomor 3 tahun 2019 tentang aturan yang secara spesifik mengatur hubungan luar negeri dengan Israel ",negative
Gubernur adalah mandat,positive
MASYARAKAT PAHAM. YANG BENAR,positive
"Wkwkw lucu ini org gatau apaa"" pasti, permenlu nomor 3 tahun 2019 tentang aturan yang secara spesifik mengatur hubungan luar negeri dengan Israel",negative
Kok segitu marahnya..? Bukankah barusan puja puji..eh...? tst ajalah yaa..?!,negative
Ehhh tolol baca ini lol,negative
udah jelas kok di FIFA masa masih mau nyalahin dan nyari kambing hitam mulu.,negative
Baca deh biar ga tolol,negative
kok gara-gara blunder sih. Itu bukan blunder udah jelas kok FIFA statement nya kenapa nyalahin komentar. Juga negara kita belum siap aja,negative
toh faktanya negara kita ga siap dan emang keamanan juga kurang. Statement FIFA udh jelas kan,negative
bupati sukoharjo tugasnya..,negative
Ganjar Pranowo sudah mempersiapkan arus mudik lebaran 1444 Hijriah dengan sebaik-baiknya dengan meninjau lokasi-lokasi yang harus dibenahi.,positive
Juga termasuk Konstitusi negara loh. FIFA juga jelas alasannya. Membela isu kemanusiaan itu yang harus kita utamakan,positive
Sudah ngopi lum???? Ngopi??,positive
heran kenapa masih nyalahin ya padahal mah pembatalan alasannya jelas di web FIFA faktanya bukan karena statement.,positive
Kok bawa bawa daging babi?,negative
Apapun kata orang sekali Ganjar tetep Ganjar untuk RI 1 semua orang berhak berpendapat.semua tindakan / ucapan itu pasti punya alasan yg kuat ,positive
Lebih baik Mancing mania pada waktunya,positive
Hahahaha PDI jg gak rugi bos klo lu gak milih jg emng lu siapa,negative
kok malah salim,positive
"Jika urusan sepele saja kau khianati padahal sudah sepakat DNA ikut tanda tangan, bagaimana jika dihadapkan dengan urusan bangsa yg lebih besar jika jadi kepala negara.  Ingat kata kang parkir Alfamart di jepang",negative
Najwa Shihab Kuliti Habis Ganjar Pranowo Soal Kontroversi Israel dan Piala Dunia U-20: Jadi,positive
Informasi yang diberitakan Tempo perihal ini kebetulan udah aku simak dan berharap semoga nanti kiranya ada penjelasan yang lengkap dari pihak terkait untuk pencerahan,positive
Dari kagum jadi jijik,negative
nakula Beraaakk,negative
Pake tagar segala Replynya keliatan banget ada yg koordinir,negative
Woi ganjar ,negative
eh termasuk saya kecewa karna saya HOBI OLAH RAGA BOLA.,negative
Pendukung wan toa,negative
